L I	L III	L II(Calc.)
-0.0799561	-0.0427246	-0.122681
-0.0765991	-0.0384521	-0.115051
-0.0772095	-0.0360107	-0.11322
-0.0817871	-0.0357056	-0.117493
-0.0878906	-0.0372314	-0.125122
-0.093689	-0.0396729	-0.133362
-0.0982666	-0.0427246	-0.140991
-0.101013	-0.0454712	-0.146484
-0.101624	-0.0473022	-0.148926
-0.101013	-0.0476074	-0.148621
-0.100098	-0.0466919	-0.14679
-0.0991821	-0.0457764	-0.144958
-0.0976563	-0.045166	-0.142822
-0.0961304	-0.0448608	-0.140991
-0.0949097	-0.0448608	-0.139771
-0.0933838	-0.045166	-0.13855
-0.0906372	-0.0460815	-0.136719
-0.0863647	-0.0479126	-0.134277
-0.0830078	-0.0497437	-0.132751
-0.0814819	-0.050354	-0.131836
-0.0802612	-0.0509644	-0.131226
-0.0793457	-0.0515747	-0.13092
-0.0784302	-0.0518799	-0.13031
-0.078125	-0.0512695	-0.129395
-0.078125	-0.0497437	-0.127869
-0.0790405	-0.0479126	-0.126953
-0.0784302	-0.0460815	-0.124512
-0.0765991	-0.0442505	-0.12085
-0.0744629	-0.0427246	-0.117188
-0.072937	-0.0408936	-0.113831
-0.0720215	-0.0393677	-0.111389
-0.0695801	-0.038147	-0.107727
-0.0643921	-0.0375366	-0.101929
-0.0579834	-0.0375366	-0.09552
-0.0524902	-0.0384521	-0.0909424
-0.0485229	-0.0390625	-0.0875854
-0.0460815	-0.0402832	-0.0863647
-0.045166	-0.0418091	-0.0869751
-0.0457764	-0.0427246	-0.088501
-0.0476074	-0.0430298	-0.0906372
-0.0488281	-0.0427246	-0.0915527
-0.0500488	-0.0418091	-0.0918579
-0.0509644	-0.0402832	-0.0912476
-0.0521851	-0.0390625	-0.0912476
-0.0534058	-0.0378418	-0.0912476
-0.0543213	-0.0369263	-0.0912476
-0.0537109	-0.0363159	-0.0900269
-0.0518799	-0.0360107	-0.0878906
-0.0482178	-0.0363159	-0.0845337
-0.0430298	-0.0378418	-0.0808716
-0.0369263	-0.0405884	-0.0775146
-0.0311279	-0.043335	-0.0744629
-0.0259399	-0.045166	-0.071106
-0.0201416	-0.0460815	-0.0662231
-0.0137329	-0.0466919	-0.0604248
-0.00762939	-0.0476074	-0.0552368
-0.00152588	-0.0488281	-0.050354
0.00396729	-0.0497437	-0.0457764
0.00793457	-0.0497437	-0.0418091
0.0112915	-0.0494385	-0.038147
0.0149536	-0.0488281	-0.0338745
0.0183105	-0.0485229	-0.0302124
0.0219727	-0.0485229	-0.0265503
0.0256348	-0.0488281	-0.0231934
0.0296021	-0.0488281	-0.0192261
0.0341797	-0.0485229	-0.0143433
0.039978	-0.0482178	-0.00823975
0.0460815	-0.0473022	-0.0012207
0.0512695	-0.0466919	0.00457764
0.0558472	-0.0457764	0.0100708
0.0592041	-0.0448608	0.0143433
0.062561	-0.043335	0.0192261
0.065918	-0.0421143	0.0238037
0.0686646	-0.0408936	0.027771
0.0695801	-0.0390625	0.0305176
0.0701904	-0.0372314	0.032959
0.071106	-0.0360107	0.0350952
0.072937	-0.0344849	0.0384521
0.0753784	-0.0326538	0.0427246
0.0784302	-0.0305176	0.0479126
0.0805664	-0.0289917	0.0515747
0.083313	-0.0274658	0.0558472
0.0872803	-0.0262451	0.0610352
0.0921631	-0.0253296	0.0668335
